State,Cuisine,City,Famous Place/Area,Estimated Cost (INR),Food Type
Rajasthan,Dal Baati Churma,Jaipur,Chokhi Dhani,350-600,Veg
Rajasthan,Laal Maas,Jodhpur,Gypsy Restaurant,400-700,Non-Veg
Rajasthan,Gatte Ki Sabzi,Udaipur,Natraj Dining Hall,250-400,Veg
Rajasthan,Ker Sangri,Jaisalmer,Local Rajasthani Dhaba,200-350,Veg
Rajasthan,Pyaaz Kachori,Jodhpur,Janta Sweet Home,50-100,Veg
Rajasthan,Mawa Kachori,Jodhpur,Rawat Mishthan Bhandar,80-150,Veg
Rajasthan,Bajra Roti,Barmer,Local Villages,100-200,Veg
Rajasthan,Mohan Maas,Jaipur,Spice Court,400-700,Non-Veg
Rajasthan,Rajasthani Kadhi,Bikaner,Gallops Restaurant,200-300,Veg
Rajasthan,Mirchi Bada,Jodhpur,Shahi Samosa,40-80,Veg
Rajasthan,Rabri,Ganganagar,Local Sweet Shops,100-200,Veg
Rajasthan,Ghewar,Jaipur,LMB Sweets,200-400,Veg
Rajasthan,Malpua,Pushkar,Pushkar Market Sweets,150-300,Veg
Rajasthan,Moong Dal Halwa,Jaipur,Laxmi Misthan Bhandar,200-350,Veg
Rajasthan,Churma Ladoo,Udaipur,Local Sweet Shops,150-250,Veg
Rajasthan,Kachra Mirchi Curry,Shekhawati,Local Dhaba,150-250,Veg
Rajasthan,Sev Tamatar Sabzi,Udaipur,Local Restaurants,200-300,Veg
Rajasthan,Bikaneri Bhujia,Bikaner,Haldiram Bhujiawala,100-200,Veg
Rajasthan,Rajasthani Thali,Jaipur,Chokhi Dhani,500-900,Veg
Rajasthan,Papad Ki Sabzi,Jodhpur,Local Restaurants,200-300,Veg